seqno,organizer,no,address,tax_id_number,twd97x,twd97y,wgs84ax,wgs84ay,date
1,鴻輝食品廠,99611344,新北市新莊區新莊路四九三巷四弄一一號,35567635,295271.81,2769474.8199999998,121.4486180913,25.032703122,20230731
2,廣達香食品股份有限公司,99604192,新北市新莊區化成路三八二巷一八號,35549807,297142.6,2771386.3100000001,121.4672214145,25.0499029713,20230731
3,順發糧食行,99613990,新北市板橋區縣民大道一段二八一號,33305209,296479.77,2766976.6099999999,121.4605038146,25.0101125037,20230731
4,台灣塩野香料股份有限公司,99600477,新北市新莊區化成路二一九號,3561504,296988.9,2771035.6299999999,121.4656862541,25.0467418104,20230731
5,圓金釀造食品股份有限公司,99606467,新北市新莊區新樹路二六八巷二二號,35427115,293506.24,2767400.6499999999,121.4310572506,25.0140290967,20230731
6,永芳醬園股份有限公司,99605140,新北市永和區仁愛路一四一巷五二號,33938534,301732.77,2767131.0299999998,121.5125527299,25.0113362727,20230731
7,強生化學製藥廠股份有限公司,99606303,新北市三重區三和路4段77號2、3樓、79號1至6樓,35348007,299403.04,2774204.2599999998,121.48972476,25.0752712299,20230731
8,大德製冰廠,99618950,新北市淡水區中正路二巷一號,37011107,294721.91,2784643.8599999999,121.4436627528,25.1696653472,20230731
9,臺灣農林股份有限公司北區分公司,99615941,新北市三峽區竹崙路140號,33506395,293933.08,2755800.5800000001,121.434918096,24.9092893194,20230731
10,新成春碾米廠,99689303,新北市樹林區柑園街一段三四五號,33326978,289454.27,2760995.52,121.3907285278,24.9563132577,20230731
11,建興豆皮工廠,99615451,新北市鶯歌區黃厝街３１巷１７號,33230600,284697,2759789.3300000001,121.3435862431,24.9455396022,20230731
12,永順豆皮工廠,99689798,新北市鶯歌區尖山路二０四號,33084901,284708.03,2759963.6299999999,121.3436998129,24.9471129517,20230731
13,華泰行食品工廠,99606385,新北市新莊區新莊路六七、六九號,35913896,296171.48,2769931.02,121.4575483564,25.0367944736,20230731
14,翁裕美商行,99610825,新北市新莊區新莊路128號,35320057,295984.45,2769831.04,121.4556916115,25.0358975757,20230731
15,集發米廠,99690225,新北市金山區美田里中山路218號,37144900,314225.45,2790514.8599999999,121.6374150416,25.2219599604,20230731
16,和利碾米工廠,99619195,新北市淡水區中正路一七０號,37065905,294402.69,2784668.8300000001,121.4404968393,25.1699002529,20230731
17,桂冠實業股份有限公司中和一廠,99616659,新北市中和區中山路二段三二九號,18868215,299754.2,2766112.3300000001,121.4929136185,25.0022057455,20230731
18,建豐實業股份有限公司二重工廠,99613703,新北市三重區光復路二段一四０號,15276906,297617.89,2772461.4500000002,121.4719689956,25.0595943998,20230731
19,林源昌蔴油食品有限公司,99619056,新北市新店區永業路96號,30831740,303562.75,2760423.0899999999,121.5304232396,24.950713323,20230731
20,信成油廠股份有限公司板橋分廠,99617209,新北市板橋區觀光街五八號,11473808,297453.14,2767704.5600000001,121.4701723494,25.0166543089,20230731
